iter	Passed	Remaining
705	3769	1569
706	3774	1564
707	3779	1558
708	3784	1553
709	3789	1547
710	3794	1542
711	3799	1536
712	3804	1531
713	3808	1525
714	3813	1520
715	3818	1514
716	3823	1509
717	3829	1504
718	3834	1498
719	3839	1493
720	3843	1487
721	3848	1482
722	3854	1476
723	3859	1471
724	3864	1465
725	3868	1460
726	3873	1454
727	3878	1449
728	3883	1443
729	3888	1438
730	3894	1432
731	3899	1427
732	3904	1422
733	3908	1416
734	3913	1411
735	3918	1405
736	3923	1399
737	3928	1394
738	3933	1389
739	3938	1383
740	3943	1378
741	3949	1373
742	3954	1367
743	3959	1362
744	3964	1357
745	3969	1351
746	3974	1346
747	3979	1340
748	3985	1335
749	3989	1329
750	3995	1324
751	3999	1319
752	4005	1313
753	4011	1308
754	4017	1303
755	4023	1298
756	4029	1293
757	4035	1288
758	4041	1283
759	4045	1277
760	4051	1272
761	4056	1267
762	4062	1262
763	4068	1256
764	4073	1251
765	4079	1246
766	4085	1241
767	4091	1236
768	4096	1230
769	4100	1224
770	4106	1219
771	4112	1214
772	4118	1209
773	4125	1204
774	4130	1199
775	4137	1194
776	4144	1189
777	4150	1184
778	4157	1179
779	4163	1174
780	4168	1169
781	4174	1163
782	4180	1158
783	4185	1153
784	4190	1147
785	4195	1142
786	4200	1136
787	4205	1131
788	4210	1126
789	4215	1120
790	4220	1115
791	4225	1109
792	4230	1104
793	4235	1098
794	4241	1093
795	4246	1088
796	4250	1082
797	4256	1077
798	4261	1071
799	4265	1066
800	4275	1062
801	4281	1057
802	4288	1052
803	4293	1046
804	4298	1041
805	4303	1035
806	4308	1030
807	4313	1024
808	4319	1019
809	4324	1014
810	4329	1008
811	4334	1003
812	4340	998
813	4344	992
814	4350	987
815	4355	982
816	4360	976
817	4365	971
818	4371	966
819	4375	960
820	4380	955
821	4386	949
822	4390	944
823	4396	939
824	4401	933
825	4406	928
826	4411	922
827	4415	917
828	4422	912
829	4427	906
830	4432	901
831	4438	896
832	4443	890
833	4449	885
834	4456	880
835	4462	875
836	4469	870
837	4474	864
838	4478	859
839	4484	854
840	4489	848
841	4493	843
842	4499	838
843	4504	832
844	4509	827
845	4514	821
846	4519	816
847	4524	810
848	4529	805
849	4535	800
850	4540	795
851	4545	789
852	4551	784
853	4556	778
854	4561	773
855	4567	768
856	4572	763
857	4579	757
858	4585	752
859	4590	747
860	4596	742
861	4602	736
862	4607	731
863	4612	726
864	4617	720
865	4623	715
866	4628	710
867	4634	704
868	4640	699
869	4646	694
870	4651	688
871	4655	683
872	4660	678
873	4666	672
874	4672	667
875	4679	662
876	4684	657
877	4689	651
878	4695	646
879	4699	640
880	4704	635
881	4709	630
882	4714	624
883	4719	619
884	4723	613
885	4729	608
886	4734	603
887	4739	597
888	4744	592
889	4749	587
890	4754	581
891	4760	576
892	4765	570
893	4770	565
894	4776	560
895	4781	554
896	4786	549
897	4791	544
898	4796	538
899	4801	533
900	4807	528
901	4812	522
902	4818	517
903	4822	512
904	4828	506
905	4833	501
906	4837	496
907	4843	490
908	4849	485
909	4854	480
910	4860	474
911	4864	469
912	4868	463
913	4873	458
914	4879	453
915	4884	447
916	4889	442
917	4894	437
918	4899	431
919	4904	426
920	4909	421
921	4913	415
922	4919	410
923	4924	405
924	4929	399
925	4934	394
926	4938	388
927	4942	383
928	4947	378
929	4952	372
930	4956	367
931	4961	362
932	4966	356
933	4971	351
934	4976	345
935	4981	340
936	4987	335
937	4992	329
938	4997	324
939	5001	319
940	5006	313
941	5010	308
942	5015	303
943	5019	297
944	5024	292
945	5029	287
946	5033	281
947	5038	276
948	5042	271
949	5047	265
950	5052	260
951	5056	254
952	5061	249
953	5067	244
954	5073	239
955	5078	233
956	5083	228
957	5089	223
958	5094	217
959	5100	212
960	5105	207
961	5110	201
962	5115	196
963	5120	191
964	5125	185
965	5130	180
966	5135	175
967	5140	169
968	5144	164
969	5150	159
970	5156	153
971	5161	148
972	5167	143
973	5173	138
974	5179	132
975	5185	127
976	5191	122
977	5197	116
978	5203	111
979	5207	106
980	5211	100
981	5217	95
982	5222	90
983	5226	84
984	5232	79
985	5236	74
986	5241	69
987	5245	63
988	5250	58
989	5255	53
990	5261	47
991	5267	42
992	5271	37
993	5276	31
994	5282	26
995	5287	21
996	5292	15
997	5298	10
998	5304	5
999	5308	0
